id,province_code,province_en_name,province,area_name,area_name_slug
324,KRB,karbala,كربلاء,حي العسكري,KRB324
325,KRB,karbala,كربلاء,حي الامن الداخلي,KRB325
326,KRB,karbala,كربلاء,حي السلام,KRB326
327,KRB,karbala,كربلاء,حي النصر,KRB327
328,KRB,karbala,كربلاء,حي الوفاء,KRB328
329,KRB,karbala,كربلاء,حي المجتبى,KRB329
330,KRB,karbala,كربلاء,حي الاسكان,KRB330
331,KRB,karbala,كربلاء,حي الزهراء,KRB331
332,KRB,karbala,كربلاء,حي الحافظ,KRB332
333,KRB,karbala,كربلاء,حي الجابر,KRB333
334,KRB,karbala,كربلاء,حي الزبيلية,KRB334
335,KRB,karbala,كربلاء,شارع ابو طالب,KRB335
336,KRB,karbala,كربلاء,حي الرسالة,KRB336
337,KRB,karbala,كربلاء,حي الملحق,KRB337
338,KRB,karbala,كربلاء,حي التعاون,KRB338
339,KRB,karbala,كربلاء,حي الجاهز,KRB339
340,KRB,karbala,كربلاء,حي البعث,KRB340
341,KRB,karbala,كربلاء,حي التحدي,KRB341
342,KRB,karbala,كربلاء,حي المعلجي,KRB342
343,KRB,karbala,كربلاء,البوبيات,KRB343
344,KRB,karbala,كربلاء,شارع احمد الوائلي,KRB344
345,KRB,karbala,كربلاء,حي المحمدية,KRB345
346,KRB,karbala,كربلاء,حي الاطباء,KRB346
347,KRB,karbala,كربلاء,حي المعلمين,KRB347
348,KRB,karbala,كربلاء,حي الفارس,KRB348
349,KRB,karbala,كربلاء,كنطرة السلام,KRB349
350,KRB,karbala,كربلاء,باب طويريج,KRB350
351,KRB,karbala,كربلاء,سيطرة الابراهيمية,KRB351
352,KRB,karbala,كربلاء,العامرية,KRB352
353,KRB,karbala,كربلاء,السياحي,KRB353
354,KRB,karbala,كربلاء,المعهد التقني,KRB354
355,KRB,karbala,كربلاء,نهر السلام,KRB355
356,KRB,karbala,كربلاء,شط الله,KRB356
357,KRB,karbala,كربلاء,العيوج صدور وبزايز,KRB357
358,KRB,karbala,كربلاء,الرجيبة,KRB358
359,KRB,karbala,كربلاء,حي العباس / الرجيبة,KRB359
360,KRB,karbala,كربلاء,حي العسكري / الرجيبة,KRB360
361,KRB,karbala,كربلاء,الشاطي,KRB361
362,KRB,karbala,كربلاء,الكويل,KRB362
363,KRB,karbala,كربلاء,شط ملة,KRB363
364,KRB,karbala,كربلاء,ال عبد الله,KRB364
365,KRB,karbala,كربلاء,ال مجلي,KRB365
366,KRB,karbala,كربلاء,الفيادة,KRB366
367,KRB,karbala,كربلاء,الكريط,KRB367
368,KRB,karbala,كربلاء,ابو عويجيلة,KRB368
369,KRB,karbala,كربلاء,ابو رواية,KRB369
370,KRB,karbala,كربلاء,حي الجمعية,KRB370
371,KRB,karbala,كربلاء,حي المثنى,KRB371
372,KRB,karbala,كربلاء,حي ابو جوعانة,KRB372
373,KRB,karbala,كربلاء,حي الضباط,KRB373
374,KRB,karbala,كربلاء,حي ام الهوى,KRB374
375,KRB,karbala,كربلاء,حي الشهداء,KRB375
376,KRB,karbala,كربلاء,حي الحسين / طويريج,KRB376
377,KRB,karbala,كربلاء,شارع الحولي / طويريج,KRB377
378,KRB,karbala,كربلاء,الطبر,KRB378
379,KRB,karbala,كربلاء,الرشيدة,KRB379
380,KRB,karbala,كربلاء,جناجه,KRB380
381,KRB,karbala,كربلاء,حي الرياض,KRB381
382,KRB,karbala,كربلاء,حي الشبذين,KRB382
383,KRB,karbala,كربلاء,حي الزهراء / طويريج,KRB383
384,KRB,karbala,كربلاء,حي ابليبيج,KRB384
385,KRB,karbala,كربلاء,شارع الربط,KRB385
386,KRB,karbala,كربلاء,قرب الامام,KRB386
387,KRB,karbala,كربلاء,حي الولاء,KRB387
388,KRB,karbala,كربلاء,عامود 685,KRB388
389,KRB,karbala,كربلاء,عامود 686,KRB389
390,KRB,karbala,كربلاء,عامود 687,KRB390
391,KRB,karbala,كربلاء,عامود 688,KRB391
392,KRB,karbala,كربلاء,عامود 689,KRB392
393,KRB,karbala,كربلاء,عامود 690,KRB393
394,KRB,karbala,كربلاء,عامود 691,KRB394
395,KRB,karbala,كربلاء,عامود 692,KRB395
396,KRB,karbala,كربلاء,عامود 693,KRB396
397,KRB,karbala,كربلاء,عامود 694,KRB397
398,KRB,karbala,كربلاء,عامود 695,KRB398
399,KRB,karbala,كربلاء,عامود 696,KRB399
400,KRB,karbala,كربلاء,عامود 697,KRB400
401,KRB,karbala,كربلاء,عامود 698,KRB401
402,KRB,karbala,كربلاء,عامود 699,KRB402
403,KRB,karbala,كربلاء,عامود 700,KRB403
404,KRB,karbala,كربلاء,عامود 701,KRB404
405,KRB,karbala,كربلاء,عامود 702,KRB405
406,KRB,karbala,كربلاء,عامود 703,KRB406
407,KRB,karbala,كربلاء,عامود 704,KRB407
408,KRB,karbala,كربلاء,عامود 705,KRB408
409,KRB,karbala,كربلاء,عامود 706,KRB409
410,KRB,karbala,كربلاء,عامود 707,KRB410
411,KRB,karbala,كربلاء,عامود 708,KRB411
412,KRB,karbala,كربلاء,عامود 709,KRB412
413,KRB,karbala,كربلاء,عامود 710,KRB413
414,KRB,karbala,كربلاء,عامود 711,KRB414
415,KRB,karbala,كربلاء,عامود 712,KRB415
416,KRB,karbala,كربلاء,عامود 713,KRB416
417,KRB,karbala,كربلاء,عامود 714,KRB417
418,KRB,karbala,كربلاء,عامود 715,KRB418
419,KRB,karbala,كربلاء,عامود 716,KRB419
420,KRB,karbala,كربلاء,عامود 717,KRB420
421,KRB,karbala,كربلاء,عامود 718,KRB421
422,KRB,karbala,كربلاء,عامود 719,KRB422
423,KRB,karbala,كربلاء,عامود 720,KRB423
424,KRB,karbala,كربلاء,عامود 721,KRB424
425,KRB,karbala,كربلاء,عامود 722,KRB425
426,KRB,karbala,كربلاء,عامود 723,KRB426
427,KRB,karbala,كربلاء,عامود 724,KRB427
428,KRB,karbala,كربلاء,عامود 725,KRB428
429,KRB,karbala,كربلاء,عامود 726,KRB429
430,KRB,karbala,كربلاء,عامود 727,KRB430
431,KRB,karbala,كربلاء,عامود 728,KRB431
432,KRB,karbala,كربلاء,عامود 729,KRB432
433,KRB,karbala,كربلاء,عامود 730,KRB433
434,KRB,karbala,كربلاء,عامود 731,KRB434
435,KRB,karbala,كربلاء,عامود 732,KRB435
436,KRB,karbala,كربلاء,عامود 733,KRB436
437,KRB,karbala,كربلاء,عامود 734,KRB437
438,KRB,karbala,كربلاء,عامود 735,KRB438
439,KRB,karbala,كربلاء,عامود 736,KRB439
440,KRB,karbala,كربلاء,عامود 737,KRB440
441,KRB,karbala,كربلاء,عامود 738,KRB441
442,KRB,karbala,كربلاء,عامود 739,KRB442
443,KRB,karbala,كربلاء,عامود 740,KRB443
444,KRB,karbala,كربلاء,عامود 741,KRB444
445,KRB,karbala,كربلاء,عامود 742,KRB445
446,KRB,karbala,كربلاء,عامود 743,KRB446
447,KRB,karbala,كربلاء,عامود 744,KRB447
448,KRB,karbala,كربلاء,عامود 745,KRB448
449,KRB,karbala,كربلاء,عامود 746,KRB449
450,KRB,karbala,كربلاء,عامود 747,KRB450
451,KRB,karbala,كربلاء,عامود 748,KRB451
452,KRB,karbala,كربلاء,عامود 749,KRB452
453,KRB,karbala,كربلاء,عامود 750,KRB453
454,KRB,karbala,كربلاء,عامود 751,KRB454
455,KRB,karbala,كربلاء,عامود 752,KRB455
456,KRB,karbala,كربلاء,عامود 753,KRB456
457,KRB,karbala,كربلاء,عامود 754,KRB457
458,KRB,karbala,كربلاء,عامود 755,KRB458
459,KRB,karbala,كربلاء,عامود 756,KRB459
460,KRB,karbala,كربلاء,عامود 757,KRB460
461,KRB,karbala,كربلاء,عامود 758,KRB461
462,KRB,karbala,كربلاء,عامود 759,KRB462
463,KRB,karbala,كربلاء,عامود 760,KRB463
464,KRB,karbala,كربلاء,عامود 761,KRB464
465,KRB,karbala,كربلاء,عامود 762,KRB465
466,KRB,karbala,كربلاء,عامود 763,KRB466
467,KRB,karbala,كربلاء,عامود 764,KRB467
468,KRB,karbala,كربلاء,عامود 765,KRB468
469,KRB,karbala,كربلاء,عامود 766,KRB469
470,KRB,karbala,كربلاء,عامود 767,KRB470
471,KRB,karbala,كربلاء,عامود 768,KRB471
472,KRB,karbala,كربلاء,عامود 769,KRB472
473,KRB,karbala,كربلاء,عامود 770,KRB473
474,KRB,karbala,كربلاء,عامود 771,KRB474
475,KRB,karbala,كربلاء,عامود 772,KRB475
476,KRB,karbala,كربلاء,عامود 773,KRB476
477,KRB,karbala,كربلاء,عامود 774,KRB477
478,KRB,karbala,كربلاء,عامود 775,KRB478
479,KRB,karbala,كربلاء,عامود 776,KRB479
480,KRB,karbala,كربلاء,عامود 777,KRB480
481,KRB,karbala,كربلاء,عامود 778,KRB481
482,KRB,karbala,كربلاء,عامود 779,KRB482
483,KRB,karbala,كربلاء,عامود 780,KRB483
484,KRB,karbala,كربلاء,عامود 781,KRB484
485,KRB,karbala,كربلاء,عامود 782,KRB485
486,KRB,karbala,كربلاء,عامود 783,KRB486
